timestamp,user_id,day,quiz_id,image_index,illusion_filename,user_answer,response_time,speed_group,display_time,correct_answer,line_length1,line_length2,actual_difference,arrow_length,angle,arrow_color,is_control,is_correct
2024-11-05 01:37:13,Haleygundie,1,1,36,muller_lyer_day1_illusion29.svg,Left,2.702,Group 1 - Slow,5.0,Same length,210,210,0,20,36,red,False,False
2024-11-05 01:37:17,Haleygundie,1,1,37,muller_lyer_day1_illusion14.svg,Left,3.102,Group 1 - Slow,5.0,Left,220,215,5,20,36,black,False,True
2024-11-05 01:37:21,Haleygundie,1,1,38,muller_lyer_day1_illusion41.svg,Same length,2.04,Group 1 - Slow,5.0,Left,205,200,5,20,36,red,False,False
2024-11-05 01:37:26,Haleygundie,1,1,39,muller_lyer_day1_illusion48.svg,Left,3.895,Group 1 - Slow,5.0,Left,205,200,5,20,36,red,False,True
2024-11-05 01:37:32,Haleygundie,1,1,40,muller_lyer_day1_illusion16.svg,Same length,5.226,Group 1 - Slow,5.0,Left,205,195,10,20,36,black,False,False
2024-11-05 01:37:36,Haleygundie,1,1,41,muller_lyer_day1_illusion23.svg,Left,2.537,Group 1 - Slow,5.0,Left,210,185,25,20,36,black,False,True
2024-11-05 01:37:43,Haleygundie,1,1,42,muller_lyer_day1_illusion32.svg,Left,6.13,Group 1 - Slow,5.0,Same length,215,215,0,20,36,red,False,False
2024-11-05 01:37:47,Haleygundie,1,1,43,muller_lyer_day1_illusion30.svg,Same length,2.621,Group 1 - Slow,5.0,Same length,195,195,0,20,36,red,False,True
2024-11-05 01:37:50,Haleygundie,1,1,44,muller_lyer_day1_illusion35.svg,Left,2.358,Group 1 - Slow,5.0,Same length,205,205,0,20,36,red,False,False
2024-11-05 01:37:57,Haleygundie,1,1,45,muller_lyer_day1_illusion31.svg,Left,5.717,Group 1 - Slow,5.0,Same length,215,215,0,20,36,red,False,False
2024-11-05 01:38:01,Haleygundie,1,1,46,muller_lyer_day1_illusion40.svg,Same length,2.437,Group 1 - Slow,5.0,Left,205,195,10,20,36,red,False,False
2024-11-05 01:38:04,Haleygundie,1,1,47,muller_lyer_day1_illusion2.svg,Left,2.14,Group 1 - Slow,5.0,Same length,195,195,0,20,36,black,False,False
2024-11-05 01:38:30,Haleygundie,1,0,0,muller_lyer_day1_illusion5.svg,Left,4.722,Group 1 - Fast,0.5,Same length,210,210,0,20,36,black,False,False
2024-11-05 01:38:34,Haleygundie,1,0,1,muller_lyer_day1_illusion10.svg,Left,2.495,Group 1 - Fast,0.5,Same length,185,185,0,20,36,black,False,False
2024-11-05 01:38:37,Haleygundie,1,0,2,muller_lyer_day1_illusion32.svg,Right,2.135,Group 1 - Fast,0.5,Same length,215,215,0,20,36,red,False,False
2024-11-05 01:38:40,Haleygundie,1,0,3,muller_lyer_day1_illusion19.svg,Same length,1.673,Group 1 - Fast,0.5,Right,200,220,-20,20,36,black,False,False
2024-11-05 01:38:43,Haleygundie,1,0,4,muller_lyer_day1_illusion8.svg,Same length,1.686,Group 1 - Fast,0.5,Same length,215,215,0,20,36,black,False,True
2024-11-05 01:38:46,Haleygundie,1,0,5,muller_lyer_day1_illusion13.svg,Same length,1.694,Group 1 - Fast,0.5,Right,185,200,-15,20,36,black,False,False
2024-11-05 01:38:49,Haleygundie,1,0,6,muller_lyer_day1_illusion25.svg,Left,1.69,Group 1 - Fast,0.5,Same length,185,185,0,20,36,red,False,False
2024-11-05 01:38:52,Haleygundie,1,0,7,muller_lyer_day1_illusion4.svg,Left,2.097,Group 1 - Fast,0.5,Same length,180,180,0,20,36,black,False,False
2024-11-05 01:38:55,Haleygundie,1,0,8,muller_lyer_day1_illusion22.svg,Left,1.576,Group 1 - Fast,0.5,Left,205,180,25,20,36,black,False,True
2024-11-05 01:38:57,Haleygundie,1,0,9,muller_lyer_day1_illusion23.svg,Left,1.626,Group 1 - Fast,0.5,Left,210,185,25,20,36,black,False,True
2024-11-05 01:39:01,Haleygundie,1,0,10,muller_lyer_day1_illusion40.svg,Same length,2.855,Group 1 - Fast,0.5,Left,205,195,10,20,36,red,False,False
2024-11-05 01:39:05,Haleygundie,1,0,11,muller_lyer_day1_illusion48.svg,Same length,2.012,Group 1 - Fast,0.5,Left,205,200,5,20,36,red,False,False
2024-11-05 01:39:07,Haleygundie,1,0,12,muller_lyer_day1_illusion11.svg,Same length,1.741,Group 1 - Fast,0.5,Same length,205,205,0,20,36,black,False,True
2024-11-05 01:39:10,Haleygundie,1,0,13,muller_lyer_day1_illusion21.svg,Left,1.587,Group 1 - Fast,0.5,Left,220,190,30,20,36,black,False,True
2024-11-05 01:39:13,Haleygundie,1,0,14,muller_lyer_day1_illusion43.svg,Right,1.699,Group 1 - Fast,0.5,Right,200,220,-20,20,36,red,False,True
2024-11-05 01:39:16,Haleygundie,1,0,15,muller_lyer_day1_illusion18.svg,Right,1.762,Group 1 - Fast,0.5,Right,185,220,-35,20,36,black,False,True
2024-11-05 01:39:19,Haleygundie,1,0,16,muller_lyer_day1_illusion28.svg,Left,1.747,Group 1 - Fast,0.5,Same length,180,180,0,20,36,red,False,False
2024-11-05 01:39:22,Haleygundie,1,0,17,muller_lyer_day1_illusion27.svg,Same length,1.839,Group 1 - Fast,0.5,Same length,200,200,0,20,36,red,False,True
2024-11-05 01:39:26,Haleygundie,1,0,18,muller_lyer_day1_illusion34.svg,Same length,2.92,Group 1 - Fast,0.5,Same length,185,185,0,20,36,red,False,True
2024-11-05 01:39:29,Haleygundie,1,0,19,muller_lyer_day1_illusion9.svg,Left,1.395,Group 1 - Fast,0.5,Same length,200,200,0,20,36,black,False,False
2024-11-05 01:39:32,Haleygundie,1,0,20,muller_lyer_day1_illusion16.svg,Left,1.985,Group 1 - Fast,0.5,Left,205,195,10,20,36,black,False,True
2024-11-05 01:39:35,Haleygundie,1,0,21,muller_lyer_day1_illusion42.svg,Right,1.844,Group 1 - Fast,0.5,Right,185,220,-35,20,36,red,False,True
2024-11-05 01:39:38,Haleygundie,1,0,22,muller_lyer_day1_illusion35.svg,Left,1.729,Group 1 - Fast,0.5,Same length,205,205,0,20,36,red,False,False
2024-11-05 01:39:41,Haleygundie,1,0,23,muller_lyer_day1_illusion38.svg,Left,2.432,Group 1 - Fast,0.5,Left,220,215,5,20,36,red,False,True
2024-11-05 01:39:45,Haleygundie,1,0,24,muller_lyer_day1_illusion30.svg,Left,2.082,Group 1 - Fast,0.5,Same length,195,195,0,20,36,red,False,False
2024-11-05 01:39:49,Haleygundie,1,0,25,muller_lyer_day1_illusion26.svg,Same length,2.925,Group 1 - Fast,0.5,Same length,195,195,0,20,36,red,False,True
2024-11-05 01:39:51,Haleygundie,1,0,26,muller_lyer_day1_illusion20.svg,Left,1.523,Group 1 - Fast,0.5,Left,220,180,40,20,36,black,False,True
2024-11-05 01:39:55,Haleygundie,1,0,27,muller_lyer_day1_illusion3.svg,Same length,2.033,Group 1 - Fast,0.5,Same length,200,200,0,20,36,black,False,True
2024-11-05 01:39:58,Haleygundie,1,0,28,muller_lyer_day1_illusion15.svg,Same length,2.033,Group 1 - Fast,0.5,Left,205,195,10,20,36,black,False,False
2024-11-05 01:40:01,Haleygundie,1,0,29,muller_lyer_day1_illusion45.svg,Same length,1.877,Group 1 - Fast,0.5,Left,220,190,30,20,36,red,False,False
2024-11-05 01:40:04,Haleygundie,1,0,30,muller_lyer_day1_illusion46.svg,Left,1.864,Group 1 - Fast,0.5,Left,205,180,25,20,36,red,False,True
2024-11-05 01:40:07,Haleygundie,1,0,31,muller_lyer_day1_illusion31.svg,Right,1.533,Group 1 - Fast,0.5,Same length,215,215,0,20,36,red,False,False
2024-11-05 01:40:09,Haleygundie,1,0,32,muller_lyer_day1_illusion36.svg,Left,1.607,Group 1 - Fast,0.5,Same length,190,190,0,20,36,red,False,False
2024-11-05 01:40:12,Haleygundie,1,0,33,muller_lyer_day1_illusion37.svg,Same length,1.845,Group 1 - Fast,0.5,Right,185,200,-15,20,36,red,False,False
2024-11-05 01:40:15,Haleygundie,1,0,34,muller_lyer_day1_illusion39.svg,Same length,2.001,Group 1 - Fast,0.5,Left,205,195,10,20,36,red,False,False
2024-11-05 01:40:19,Haleygundie,1,0,35,muller_lyer_day1_illusion14.svg,Same length,2.543,Group 1 - Fast,0.5,Left,220,215,5,20,36,black,False,False
